"n","k","c","r","Weight","Power","MCSE"
100,2,1.5,5,"Tail",0.0626,0.00342582077756557
100,2,1.5,8,"Uniform",0,0
100,2,1.5,8,"Central",0.0596,0.00334806929438445
100,2,1.5,8,"Tail",0.0588,0.00332693733033852
100,2,2,1,"Uniform",0,0
100,2,2,1,"Central",0.0552,0.0032296427046966
100,2,2,1,"Tail",0.0504,0.00309385972532693
100,2,2,2,"Uniform",0,0
100,2,2,2,"Central",0.053,0.00316831185333767
100,2,2,2,"Tail",0.0498,0.00307636018697421
100,2,2,3,"Uniform",0,0
100,2,2,3,"Central",0.0522,0.00314563697841947
100,2,2,3,"Tail",0.0536,0.00318518570887162
100,2,2,5,"Uniform",0,0
100,2,2,5,"Central",0.0614,0.00339499749631719
100,2,2,5,"Tail",0.0724,0.00366492128155572
100,2,2,8,"Uniform",0,0
100,2,2,8,"Central",0.062,0.00341045451516363
100,2,2,8,"Tail",0.0626,0.00342582077756557
100,4,0.5,1,"Uniform",0,0
100,4,0.5,1,"Central",0.0498,0.00307636018697421
100,4,0.5,1,"Tail",0.0432,0.00287519599331941
100,4,0.5,2,"Uniform",0,0
100,4,0.5,2,"Central",0.0488,0.00304691844328003
100,4,0.5,2,"Tail",0.0436,0.00288787257336608
100,4,0.5,3,"Uniform",0,0
100,4,0.5,3,"Central",0.0532,0.00317394895989208
100,4,0.5,3,"Tail",0.0492,0.00305873699425106
100,4,0.5,5,"Uniform",0,0
100,4,0.5,5,"Central",0.0524,0.00315132480077824
100,4,0.5,5,"Tail",0.0504,0.00309385972532693
100,4,0.5,8,"Uniform",0,0
100,4,0.5,8,"Central",0.0508,0.00310545842026584
100,4,0.5,8,"Tail",0.0466,0.00298088711627931
100,4,1,1,"Uniform",0,0
100,4,1,1,"Central",0.0508,0.00310545842026584
100,4,1,1,"Tail",0.0444,0.00291302729132427
100,4,1,2,"Uniform",0,0
100,4,1,2,"Central",0.0512,0.0031170036894428
100,4,1,2,"Tail",0.0424,0.00284963997726029
100,4,1,3,"Uniform",0,0
100,4,1,3,"Central",0.0552,0.0032296427046966
100,4,1,3,"Tail",0.0462,0.00296868859936505
100,4,1,5,"Uniform",0,0
100,4,1,5,"Central",0.0504,0.00309385972532693
100,4,1,5,"Tail",0.0576,0.00329491244193226
100,4,1,8,"Uniform",0,0
100,4,1,8,"Central",0.052,0.00313993630508646
100,4,1,8,"Tail",0.0446,0.00291927525252416
100,4,1.5,1,"Uniform",0,0
100,4,1.5,1,"Central",0.0558,0.00324611644892786
100,4,1.5,1,"Tail",0.0456,0.00295027591929975
100,4,1.5,2,"Uniform",0,0
100,4,1.5,2,"Central",0.051,0.00311123769583746
100,4,1.5,2,"Tail",0.0442,0.00290676314824583
100,4,1.5,3,"Uniform",0,0
100,4,1.5,3,"Central",0.0564,0.00326248494249399
100,4,1.5,3,"Tail",0.044,0.00290048271844533
100,4,1.5,5,"Uniform",0,0
100,4,1.5,5,"Central",0.0576,0.00329491244193226
100,4,1.5,5,"Tail",0.0538,0.00319078548323136
100,4,1.5,8,"Uniform",0,0
100,4,1.5,8,"Central",0.0514,0.00312275647465504
100,4,1.5,8,"Tail",0.049,0.00305283474822991
100,4,2,1,"Uniform",0,0
100,4,2,1,"Central",0.0506,0.00309966578843591
100,4,2,1,"Tail",0.054,0.00319637294444813
100,4,2,2,"Uniform",0,0
100,4,2,2,"Central",0.0562,0.00325704037432759
100,4,2,2,"Tail",0.0498,0.00307636018697421
100,4,2,3,"Uniform",0,0
100,4,2,3,"Central",0.0536,0.00318518570887162
100,4,2,3,"Tail",0.0538,0.00319078548323136
100,4,2,5,"Uniform",0,0
100,4,2,5,"Central",0.0618,0.00340531232047811
100,4,2,5,"Tail",0.0616,0.00340015999623547
100,4,2,8,"Uniform",0,0
100,4,2,8,"Central",0.0498,0.00307636018697421
100,4,2,8,"Tail",0.0504,0.00309385972532693
100,8,0.5,1,"Uniform",0,0
100,8,0.5,1,"Central",0.0464,0.00297479545515318
100,8,0.5,1,"Tail",0.0434,0.00288154264240528
100,8,0.5,2,"Uniform",0,0
100,8,0.5,2,"Central",0.0546,0.00321306209090332
100,8,0.5,2,"Tail",0.0446,0.00291927525252416
100,8,0.5,3,"Uniform",0,0
100,8,0.5,3,"Central",0.046,0.00296256645495084
100,8,0.5,3,"Tail",0.0448,0.00292550713552369
100,8,0.5,5,"Uniform",0,0
100,8,0.5,5,"Central",0.0542,0.00320194815698193
100,8,0.5,5,"Tail",0.0552,0.0032296427046966
100,8,0.5,8,"Uniform",0,0
100,8,0.5,8,"Central",0.0492,0.00305873699425106
100,8,0.5,8,"Tail",0.0476,0.00301112072159188
100,8,1,1,"Uniform",0,0
100,8,1,1,"Central",0.0462,0.00296868859936505
100,8,1,1,"Tail",0.0416,0.00282380735886852
100,8,1,2,"Uniform",0,0
100,8,1,2,"Central",0.053,0.00316831185333767
100,8,1,2,"Tail",0.046,0.00296256645495084
100,8,1,3,"Uniform",0,0
100,8,1,3,"Central",0.053,0.00316831185333767
100,8,1,3,"Tail",0.0492,0.00305873699425106
100,8,1,5,"Uniform",0,0
100,8,1,5,"Central",0.056,0.00325158422926425
100,8,1,5,"Tail",0.0532,0.00317394895989208
100,8,1,8,"Uniform",0,0
100,8,1,8,"Central",0.0502,0.00308804015517933
100,8,1,8,"Tail",0.0504,0.00309385972532693
100,8,1.5,1,"Uniform",0,0
100,8,1.5,1,"Central",0.0572,0.00328414859590732
100,8,1.5,1,"Tail",0.0448,0.00292550713552369
100,8,1.5,2,"Uniform",0,0
100,8,1.5,2,"Central",0.0478,0.00301712313305241
100,8,1.5,2,"Tail",0.0436,0.00288787257336608
100,8,1.5,3,"Uniform",0,0
100,8,1.5,3,"Central",0.0502,0.00308804015517933
100,8,1.5,3,"Tail",0.0472,0.00299907185642492
100,8,1.5,5,"Uniform",0,0
100,8,1.5,5,"Central",0.0494,0.0030646252625729
100,8,1.5,5,"Tail",0.0522,0.00314563697841947
100,8,1.5,8,"Uniform",0,0
100,8,1.5,8,"Central",0.0464,0.00297479545515318
100,8,1.5,8,"Tail",0.047,0.00299302522541993
100,8,2,1,"Uniform",0,0
100,8,2,1,"Central",0.0494,0.0030646252625729
100,8,2,1,"Tail",0.0458,0.00295642892693195
100,8,2,2,"Uniform",0,0
100,8,2,2,"Central",0.047,0.00299302522541993
100,8,2,2,"Tail",0.0416,0.00282380735886852
100,8,2,3,"Uniform",0,0
100,8,2,3,"Central",0.052,0.00313993630508646
100,8,2,3,"Tail",0.0454,0.00294410733499986
100,8,2,5,"Uniform",0,0
100,8,2,5,"Central",0.047,0.00299302522541993
100,8,2,5,"Tail",0.0456,0.00295027591929975
100,8,2,8,"Uniform",0,0
100,8,2,8,"Central",0.0462,0.00296868859936505
100,8,2,8,"Tail",0.0454,0.00294410733499986
200,1,0.5,1,"Uniform",0,0
200,1,0.5,1,"Central",0.052,0.00313993630508646
200,1,0.5,1,"Tail",0.0546,0.00321306209090332
200,1,0.5,2,"Uniform",0,0
200,1,0.5,2,"Central",0.0518,0.0031342227106573
200,1,0.5,2,"Tail",0.0494,0.0030646252625729
200,1,0.5,3,"Uniform",0,0
200,1,0.5,3,"Central",0.0504,0.00309385972532693
200,1,0.5,3,"Tail",0.0516,0.00312849612433834
200,1,0.5,5,"Uniform",0,0
200,1,0.5,5,"Central",0.0494,0.0030646252625729
200,1,0.5,5,"Tail",0.0484,0.00303504332753257
200,1,0.5,8,"Uniform",0,0
200,1,0.5,8,"Central",0.0528,0.00316266216975509
200,1,0.5,8,"Tail",0.0436,0.00288787257336608
200,1,1,1,"Uniform",0,0
200,1,1,1,"Central",0.0508,0.00310545842026584
200,1,1,1,"Tail",0.0552,0.0032296427046966
200,1,1,2,"Uniform",0,0
200,1,1,2,"Central",0.0558,0.00324611644892786
200,1,1,2,"Tail",0.0524,0.00315132480077824
200,1,1,3,"Uniform",0,0
200,1,1,3,"Central",0.0552,0.0032296427046966
200,1,1,3,"Tail",0.0484,0.00303504332753257
200,1,1,5,"Uniform",0,0
200,1,1,5,"Central",0.0536,0.00318518570887162
200,1,1,5,"Tail",0.0466,0.00298088711627931
200,1,1,8,"Uniform",0,0
200,1,1,8,"Central",0.047,0.00299302522541993
200,1,1,8,"Tail",0.0526,0.00315699984162179
200,1,1.5,1,"Uniform",0,0
200,1,1.5,1,"Central",0.0486,0.0030409879973456
200,1,1.5,1,"Tail",0.057,0.00327874976172321
200,1,1.5,2,"Uniform",0,0
200,1,1.5,2,"Central",0.0558,0.00324611644892786
200,1,1.5,2,"Tail",0.0488,0.00304691844328003
200,1,1.5,3,"Uniform",0,0
200,1,1.5,3,"Central",0.0548,0.00321860093829602
200,1,1.5,3,"Tail",0.0508,0.00310545842026584
200,1,1.5,5,"Uniform",0,0
200,1,1.5,5,"Central",0.0522,0.00314563697841947
200,1,1.5,5,"Tail",0.04,0.0027712812921102
200,1,1.5,8,"Uniform",0,0
200,1,1.5,8,"Central",0.0564,0.00326248494249399
200,1,1.5,8,"Tail",0.0536,0.00318518570887162
200,1,2,1,"Uniform",0,0
200,1,2,1,"Central",0.0524,0.00315132480077824
200,1,2,1,"Tail",0.0552,0.0032296427046966
200,1,2,2,"Uniform",0,0
200,1,2,2,"Central",0.0532,0.00317394895989208
200,1,2,2,"Tail",0.0484,0.00303504332753257
200,1,2,3,"Uniform",0,0
200,1,2,3,"Central",0.0504,0.00309385972532693
200,1,2,3,"Tail",0.0602,0.00336380617753164
200,1,2,5,"Uniform",0,0
200,1,2,5,"Central",0.0568,0.00327333957908433
200,1,2,5,"Tail",0.0432,0.00287519599331941
200,1,2,8,"Uniform",0,0
200,1,2,8,"Central",0.0454,0.00294410733499986
200,1,2,8,"Tail",0.0388,0.00273110087693589
200,2,0.5,1,"Uniform",0,0
200,2,0.5,1,"Central",0.051,0.00311123769583746
200,2,0.5,1,"Tail",0.0584,0.00331630637909105
200,2,0.5,2,"Uniform",0,0
200,2,0.5,2,"Central",0.049,0.00305283474822991
200,2,0.5,2,"Tail",0.0532,0.00317394895989208
200,2,0.5,3,"Uniform",0,0
200,2,0.5,3,"Central",0.0506,0.00309966578843591
200,2,0.5,3,"Tail",0.0572,0.00328414859590732
200,2,0.5,5,"Uniform",0,0
200,2,0.5,5,"Central",0.0532,0.00317394895989208
200,2,0.5,5,"Tail",0.0428,0.00286245209566903
200,2,0.5,8,"Uniform",0,0
200,2,0.5,8,"Central",0.0514,0.00312275647465504
200,2,0.5,8,"Tail",0.046,0.00296256645495084
200,2,1,1,"Uniform",0,0
200,2,1,1,"Central",0.0504,0.00309385972532693
200,2,1,1,"Tail",0.0602,0.00336380617753164
200,2,1,2,"Uniform",0,0
200,2,1,2,"Central",0.0476,0.00301112072159188
200,2,1,2,"Tail",0.0482,0.00302908435009658
200,2,1,3,"Uniform",0,0
200,2,1,3,"Central",0.0524,0.00315132480077824
200,2,1,3,"Tail",0.0564,0.00326248494249399
200,2,1,5,"Uniform",0,0
200,2,1,5,"Central",0.0548,0.00321860093829602
200,2,1,5,"Tail",0.0434,0.00288154264240528
200,2,1,8,"Uniform",0,0
