"n","x0","eta","c","r","Weight","Power","MCSE"
50,0.25,0.2,0.5,3,"Uniform",0,0
50,0.25,0.2,0.5,3,"Central",0.0478,0.00301712313305241
50,0.25,0.2,0.5,3,"Tail",0.051,0.00311123769583746
50,0.25,0.2,0.5,3,"Localized",0.0478,0.00301712313305241
50,0.25,0.2,0.5,5,"Uniform",0,0
50,0.25,0.2,0.5,5,"Central",0.0546,0.00321306209090332
50,0.25,0.2,0.5,5,"Tail",0.0504,0.00309385972532693
50,0.25,0.2,0.5,5,"Localized",0.0436,0.00288787257336608
50,0.25,0.2,0.5,8,"Uniform",0,0
50,0.25,0.2,0.5,8,"Central",0.0466,0.00298088711627931
50,0.25,0.2,0.5,8,"Tail",0.0426,0.00285605462132642
50,0.25,0.2,0.5,8,"Localized",0.0448,0.00292550713552369
50,0.25,0.2,1,1,"Uniform",0,0
50,0.25,0.2,1,1,"Central",0.052,0.00313993630508646
50,0.25,0.2,1,1,"Tail",0.0488,0.00304691844328003
50,0.25,0.2,1,1,"Localized",0.0316,0.00247392158323581
50,0.25,0.2,1,2,"Uniform",0,0
50,0.25,0.2,1,2,"Central",0.0436,0.00288787257336608
50,0.25,0.2,1,2,"Tail",0.06,0.00335857112474933
50,0.25,0.2,1,2,"Localized",0.0346,0.0025846794772273
50,0.25,0.2,1,3,"Uniform",0,0
50,0.25,0.2,1,3,"Central",0.0486,0.0030409879973456
50,0.25,0.2,1,3,"Tail",0.0564,0.00326248494249399
50,0.25,0.2,1,3,"Localized",0.0392,0.0027445713690848
50,0.25,0.2,1,5,"Uniform",0,0
50,0.25,0.2,1,5,"Central",0.0518,0.0031342227106573
50,0.25,0.2,1,5,"Tail",0.0492,0.00305873699425106
50,0.25,0.2,1,5,"Localized",0.0492,0.00305873699425106
50,0.25,0.2,1,8,"Uniform",0,0
50,0.25,0.2,1,8,"Central",0.0482,0.00302908435009658
50,0.25,0.2,1,8,"Tail",0.0484,0.00303504332753257
50,0.25,0.2,1,8,"Localized",0.0368,0.00266254614983478
50,0.25,0.2,1.5,1,"Uniform",0,0
50,0.25,0.2,1.5,1,"Central",0.0516,0.00312849612433834
50,0.25,0.2,1.5,1,"Tail",0.0568,0.00327333957908433
50,0.25,0.2,1.5,1,"Localized",0.0282,0.00234114331043616
50,0.25,0.2,1.5,2,"Uniform",0,0
50,0.25,0.2,1.5,2,"Central",0.0454,0.00294410733499986
50,0.25,0.2,1.5,2,"Tail",0.0536,0.00318518570887162
50,0.25,0.2,1.5,2,"Localized",0.0268,0.00228393344911799
50,0.25,0.2,1.5,3,"Uniform",0,0
50,0.25,0.2,1.5,3,"Central",0.047,0.00299302522541993
50,0.25,0.2,1.5,3,"Tail",0.0464,0.00297479545515318
50,0.25,0.2,1.5,3,"Localized",0.0346,0.0025846794772273
50,0.25,0.2,1.5,5,"Uniform",0,0
50,0.25,0.2,1.5,5,"Central",0.0478,0.00301712313305241
50,0.25,0.2,1.5,5,"Tail",0.0436,0.00288787257336608
50,0.25,0.2,1.5,5,"Localized",0.0342,0.0025702280054501
50,0.25,0.2,1.5,8,"Uniform",0,0
50,0.25,0.2,1.5,8,"Central",0.0516,0.00312849612433834
50,0.25,0.2,1.5,8,"Tail",0.0432,0.00287519599331941
50,0.25,0.2,1.5,8,"Localized",0.0368,0.00266254614983478
50,0.25,0.2,2,1,"Uniform",0,0
50,0.25,0.2,2,1,"Central",0.0518,0.0031342227106573
50,0.25,0.2,2,1,"Tail",0.0572,0.00328414859590732
50,0.25,0.2,2,1,"Localized",0.0234,0.00213786996798215
50,0.25,0.2,2,2,"Uniform",0,0
50,0.25,0.2,2,2,"Central",0.0504,0.00309385972532693
50,0.25,0.2,2,2,"Tail",0.0596,0.00334806929438445
50,0.25,0.2,2,2,"Localized",0.0266,0.00227562914377541
50,0.25,0.2,2,3,"Uniform",0,0
50,0.25,0.2,2,3,"Central",0.0476,0.00301112072159188
50,0.25,0.2,2,3,"Tail",0.0518,0.0031342227106573
50,0.25,0.2,2,3,"Localized",0.027,0.00229220417938717
50,0.25,0.2,2,5,"Uniform",0,0
50,0.25,0.2,2,5,"Central",0.0546,0.00321306209090332
50,0.25,0.2,2,5,"Tail",0.0424,0.00284963997726029
50,0.25,0.2,2,5,"Localized",0.031,0.00245108139399735
50,0.25,0.2,2,8,"Uniform",0,0
50,0.25,0.2,2,8,"Central",0.054,0.00319637294444813
50,0.25,0.2,2,8,"Tail",0.0388,0.00273110087693589
50,0.25,0.2,2,8,"Localized",0.0346,0.0025846794772273
50,0.5,0.05,0.5,1,"Uniform",0,0
50,0.5,0.05,0.5,1,"Central",0.0478,0.00301712313305241
50,0.5,0.05,0.5,1,"Tail",0.054,0.00319637294444813
50,0.5,0.05,0.5,1,"Localized",0.036,0.00263453980801202
50,0.5,0.05,0.5,2,"Uniform",0,0
50,0.5,0.05,0.5,2,"Central",0.0478,0.00301712313305241
50,0.5,0.05,0.5,2,"Tail",0.0546,0.00321306209090332
50,0.5,0.05,0.5,2,"Localized",0.0364,0.00264858603787002
50,0.5,0.05,0.5,3,"Uniform",0,0
50,0.5,0.05,0.5,3,"Central",0.0446,0.00291927525252416
50,0.5,0.05,0.5,3,"Tail",0.0508,0.00310545842026584
50,0.5,0.05,0.5,3,"Localized",0.0422,0.00284320804725929
50,0.5,0.05,0.5,5,"Uniform",0,0
50,0.5,0.05,0.5,5,"Central",0.0476,0.00301112072159188
50,0.5,0.05,0.5,5,"Tail",0.049,0.00305283474822991
50,0.5,0.05,0.5,5,"Localized",0.0448,0.00292550713552369
50,0.5,0.05,0.5,8,"Uniform",0,0
50,0.5,0.05,0.5,8,"Central",0.0452,0.00293792307591605
50,0.5,0.05,0.5,8,"Tail",0.0446,0.00291927525252416
50,0.5,0.05,0.5,8,"Localized",0.0534,0.00317957355631223
50,0.5,0.05,1,1,"Uniform",0,0
50,0.5,0.05,1,1,"Central",0.0446,0.00291927525252416
50,0.5,0.05,1,1,"Tail",0.0478,0.00301712313305241
50,0.5,0.05,1,1,"Localized",0.038,0.0027039230758289
50,0.5,0.05,1,2,"Uniform",0,0
50,0.5,0.05,1,2,"Central",0.038,0.0027039230758289
50,0.5,0.05,1,2,"Tail",0.0572,0.00328414859590732
50,0.5,0.05,1,2,"Localized",0.0304,0.00242799670510485
50,0.5,0.05,1,3,"Uniform",0,0
50,0.5,0.05,1,3,"Central",0.0444,0.00291302729132427
50,0.5,0.05,1,3,"Tail",0.0506,0.00309966578843591
50,0.5,0.05,1,3,"Localized",0.0314,0.00246633493264804
50,0.5,0.05,1,5,"Uniform",0,0
50,0.5,0.05,1,5,"Central",0.0472,0.00299907185642492
50,0.5,0.05,1,5,"Tail",0.05,0.00308220700148449
50,0.5,0.05,1,5,"Localized",0.0488,0.00304691844328003
