"n","pi","mu","r","Weight","Power","MCSE"
100,0.2,0.5,3,"Central",0.045,0.00293172304285381
100,0.2,0.5,3,"Tail",0.0592,0.0033375248313683
100,0.2,0.5,5,"Uniform",0,0
100,0.2,0.5,5,"Central",0.0316,0.00247392158323581
100,0.2,0.5,5,"Tail",0.0696,0.00359877312427444
100,0.2,0.5,8,"Uniform",0,0
100,0.2,0.5,8,"Central",0.0398,0.00276463234445378
100,0.2,0.5,8,"Tail",0.0898,0.00404316608612607
100,0.2,1,1,"Uniform",0,0
100,0.2,1,1,"Central",0.0474,0.00300510365877785
100,0.2,1,1,"Tail",0.0546,0.00321306209090332
100,0.2,1,2,"Uniform",0,0
100,0.2,1,2,"Central",0.0288,0.00236518751899294
100,0.2,1,2,"Tail",0.0896,0.00403910485132535
100,0.2,1,3,"Uniform",0,0
100,0.2,1,3,"Central",0.0262,0.00225891832521674
100,0.2,1,3,"Tail",0.1182,0.00456571483997851
100,0.2,1,5,"Uniform",0,0
100,0.2,1,5,"Central",0.0182,0.00189043698651925
100,0.2,1,5,"Tail",0.1616,0.00520548633654916
100,0.2,1,8,"Uniform",0,0
100,0.2,1,8,"Central",0.015,0.00171901134376711
100,0.2,1,8,"Tail",0.2304,0.005955095969
100,0.2,1.5,1,"Uniform",0,0
100,0.2,1.5,1,"Central",0.0342,0.0025702280054501
100,0.2,1.5,1,"Tail",0.068,0.00356022471200906
100,0.2,1.5,2,"Uniform",0,0
100,0.2,1.5,2,"Central",0.0154,0.00174142700105402
100,0.2,1.5,2,"Tail",0.1604,0.00518983313797274
100,0.2,1.5,3,"Uniform",0,0
100,0.2,1.5,3,"Central",0.0112,0.00148825804214189
100,0.2,1.5,3,"Tail",0.2382,0.00602429680543713
100,0.2,1.5,5,"Uniform",0,0
100,0.2,1.5,5,"Central",0.005,0.000997496867163
100,0.2,1.5,5,"Tail",0.3616,0.00679478388177284
100,0.2,1.5,8,"Uniform",0,0
100,0.2,1.5,8,"Central",0.0044,0.000936017093861004
100,0.2,1.5,8,"Tail",0.4736,0.00706120442984056
100,0.3,0.5,1,"Uniform",0,0
100,0.3,0.5,1,"Central",0.0524,0.00315132480077824
100,0.3,0.5,1,"Tail",0.0552,0.0032296427046966
100,0.3,0.5,2,"Uniform",0,0
100,0.3,0.5,2,"Central",0.0384,0.00271755183943195
100,0.3,0.5,2,"Tail",0.076,0.00374763925691895
