"n","Perturbation","x0","eta","c","r","Weight","Kappa","Lambda","Empirical_Power","MCSE","Theoretical_Power","Zero_Kappa"
50,"Linear",NA,NA,2,8,"Tail",1.07213309997844e-16,2.14426619995687e-16,0.0684,0.00356991428468528,0.0500000000000001,TRUE
50,"Quadratic",NA,NA,0.5,1,"Uniform",0.000100000000000046,5.0000000000023e-05,0,0,0.0500000002863757,FALSE
50,"Quadratic",NA,NA,0.5,1,"Central",-0.182565066938613,-0.0912825334693063,0.0546,0.00321306209090332,0.0509550460167297,FALSE
50,"Quadratic",NA,NA,0.5,1,"Tail",0.298276554122463,0.149138277061231,0.042,0.00283675871374356,0.0525517956416884,FALSE
50,"Quadratic",NA,NA,0.5,2,"Uniform",0.000100000000000046,5.0000000000023e-05,0,0,0.0500000002863757,FALSE
50,"Quadratic",NA,NA,0.5,2,"Central",-0.182565066938613,-0.0912825334693063,0.0554,0.00323514574633045,0.0509550460167297,FALSE
50,"Quadratic",NA,NA,0.5,2,"Tail",0.298276554122463,0.149138277061231,0.0476,0.00301112072159188,0.0525517956416884,FALSE
50,"Quadratic",NA,NA,0.5,3,"Uniform",0.000100000000000046,5.0000000000023e-05,0,0,0.0500000002863757,FALSE
50,"Quadratic",NA,NA,0.5,3,"Central",-0.182565066938613,-0.0912825334693063,0.053,0.00316831185333767,0.0509550460167297,FALSE
50,"Quadratic",NA,NA,0.5,3,"Tail",0.298276554122463,0.149138277061231,0.0576,0.00329491244193226,0.0525517956416884,FALSE
50,"Quadratic",NA,NA,0.5,5,"Uniform",0.000100000000000046,5.0000000000023e-05,0,0,0.0500000002863757,FALSE
50,"Quadratic",NA,NA,0.5,5,"Central",-0.182565066938613,-0.0912825334693063,0.0504,0.00309385972532693,0.0509550460167297,FALSE
50,"Quadratic",NA,NA,0.5,5,"Tail",0.298276554122463,0.149138277061231,0.0572,0.00328414859590732,0.0525517956416884,FALSE
50,"Quadratic",NA,NA,0.5,8,"Uniform",0.000100000000000046,5.0000000000023e-05,0,0,0.0500000002863757,FALSE
50,"Quadratic",NA,NA,0.5,8,"Central",-0.182565066938613,-0.0912825334693063,0.0432,0.00287519599331941,0.0509550460167297,FALSE
50,"Quadratic",NA,NA,0.5,8,"Tail",0.298276554122463,0.149138277061231,0.058,0.00330563155841664,0.0525517956416884,FALSE
50,"Quadratic",NA,NA,1,1,"Uniform",0.000100000000000046,0.000100000000000046,0,0,0.0500000011455023,FALSE
50,"Quadratic",NA,NA,1,1,"Central",-0.182565066938613,-0.182565066938613,0.0598,0.00335332551357604,0.0538267811162567,FALSE
50,"Quadratic",NA,NA,1,1,"Tail",0.298276554122463,0.298276554122463,0.0352,0.00260618341641566,0.0602530649228937,FALSE
50,"Quadratic",NA,NA,1,2,"Uniform",0.000100000000000046,0.000100000000000046,0,0,0.0500000011455023,FALSE
50,"Quadratic",NA,NA,1,2,"Central",-0.182565066938613,-0.182565066938613,0.048,0.00302311098043059,0.0538267811162567,FALSE
50,"Quadratic",NA,NA,1,2,"Tail",0.298276554122463,0.298276554122463,0.0386,0.00272433624943765,0.0602530649228937,FALSE
50,"Quadratic",NA,NA,1,3,"Uniform",0.000100000000000046,0.000100000000000046,0,0,0.0500000011455023,FALSE
50,"Quadratic",NA,NA,1,3,"Central",-0.182565066938613,-0.182565066938613,0.0484,0.00303504332753257,0.0538267811162567,FALSE
50,"Quadratic",NA,NA,1,3,"Tail",0.298276554122463,0.298276554122463,0.0536,0.00318518570887162,0.0602530649228937,FALSE
50,"Quadratic",NA,NA,1,5,"Uniform",0.000100000000000046,0.000100000000000046,0,0,0.0500000011455023,FALSE
50,"Quadratic",NA,NA,1,5,"Central",-0.182565066938613,-0.182565066938613,0.048,0.00302311098043059,0.0538267811162567,FALSE
50,"Quadratic",NA,NA,1,5,"Tail",0.298276554122463,0.298276554122463,0.0688,0.00357956868910208,0.0602530649228937,FALSE
50,"Quadratic",NA,NA,1,8,"Uniform",0.000100000000000046,0.000100000000000046,0,0,0.0500000011455023,FALSE
50,"Quadratic",NA,NA,1,8,"Central",-0.182565066938613,-0.182565066938613,0.0422,0.00284320804725929,0.0538267811162567,FALSE
