"n","x0","delta","r","Weight","Power","MCSE"
50,0.75,0.4,5,"Central",0.215,0.00580990533485702
50,0.75,0.4,5,"Tail",0.0152,0.00173025778426222
50,0.75,0.4,8,"Uniform",0,0
50,0.75,0.4,8,"Central",0.1784,0.00541430401806179
50,0.75,0.4,8,"Tail",0.0244,0.00218195508661384
100,0.25,0.05,1,"Uniform",0,0
100,0.25,0.05,1,"Central",0.0582,0.003310974478911
100,0.25,0.05,1,"Tail",0.0394,0.00275127752144345
100,0.25,0.05,2,"Uniform",0,0
100,0.25,0.05,2,"Central",0.055,0.0032241277890307
100,0.25,0.05,2,"Tail",0.0464,0.00297479545515318
100,0.25,0.05,3,"Uniform",0,0
100,0.25,0.05,3,"Central",0.0514,0.00312275647465504
100,0.25,0.05,3,"Tail",0.049,0.00305283474822991
100,0.25,0.05,5,"Uniform",0,0
100,0.25,0.05,5,"Central",0.0488,0.00304691844328003
100,0.25,0.05,5,"Tail",0.048,0.00302311098043059
100,0.25,0.05,8,"Uniform",0,0
100,0.25,0.05,8,"Central",0.0568,0.00327333957908433
100,0.25,0.05,8,"Tail",0.0494,0.0030646252625729
100,0.25,0.1,1,"Uniform",0,0
100,0.25,0.1,1,"Central",0.069,0.00358438279205779
100,0.25,0.1,1,"Tail",0.038,0.0027039230758289
100,0.25,0.1,2,"Uniform",0,0
100,0.25,0.1,2,"Central",0.0564,0.00326248494249399
100,0.25,0.1,2,"Tail",0.0438,0.00289418589589542
100,0.25,0.1,3,"Uniform",0,0
100,0.25,0.1,3,"Central",0.0598,0.00335332551357604
100,0.25,0.1,3,"Tail",0.0456,0.00295027591929975
100,0.25,0.1,5,"Uniform",0,0
100,0.25,0.1,5,"Central",0.0458,0.00295642892693195
100,0.25,0.1,5,"Tail",0.0516,0.00312849612433834
100,0.25,0.1,8,"Uniform",0,0
100,0.25,0.1,8,"Central",0.0492,0.00305873699425106
100,0.25,0.1,8,"Tail",0.0548,0.00321860093829602
100,0.25,0.2,1,"Uniform",0,0
100,0.25,0.2,1,"Central",0.085,0.003943982758583
100,0.25,0.2,1,"Tail",0.0264,0.00226729089443768
100,0.25,0.2,2,"Uniform",0,0
100,0.25,0.2,2,"Central",0.0608,0.00337944847571316
100,0.25,0.2,2,"Tail",0.0418,0.00283029185774188
100,0.25,0.2,3,"Uniform",0,0
100,0.25,0.2,3,"Central",0.0578,0.00330027756408457
100,0.25,0.2,3,"Tail",0.0488,0.00304691844328003
100,0.25,0.2,5,"Uniform",0,0
100,0.25,0.2,5,"Central",0.0468,0.00298696367570816
100,0.25,0.2,5,"Tail",0.0562,0.00325704037432759
100,0.25,0.2,8,"Uniform",0,0
100,0.25,0.2,8,"Central",0.0448,0.00292550713552369
100,0.25,0.2,8,"Tail",0.0576,0.00329491244193226
100,0.25,0.4,1,"Uniform",0,0
100,0.25,0.4,1,"Central",0.097,0.0041854748834511
100,0.25,0.4,1,"Tail",0.0278,0.00232495849425318
100,0.25,0.4,2,"Uniform",0,0
100,0.25,0.4,2,"Central",0.0748,0.00372034837078465
100,0.25,0.4,2,"Tail",0.0436,0.00288787257336608
100,0.25,0.4,3,"Uniform",0,0
100,0.25,0.4,3,"Central",0.0522,0.00314563697841947
100,0.25,0.4,3,"Tail",0.0554,0.00323514574633045
100,0.25,0.4,5,"Uniform",0,0
100,0.25,0.4,5,"Central",0.0388,0.00273110087693589
100,0.25,0.4,5,"Tail",0.0742,0.00370659844061911
100,0.25,0.4,8,"Uniform",0,0
100,0.25,0.4,8,"Central",0.0276,0.00231681850821336
100,0.25,0.4,8,"Tail",0.0868,0.00398160168776336
100,0.5,0.05,1,"Uniform",0,0
100,0.5,0.05,1,"Central",0.053,0.00316831185333767
100,0.5,0.05,1,"Tail",0.0422,0.00284320804725929
100,0.5,0.05,2,"Uniform",0,0
100,0.5,0.05,2,"Central",0.0482,0.00302908435009658
100,0.5,0.05,2,"Tail",0.054,0.00319637294444813
100,0.5,0.05,3,"Uniform",0,0
100,0.5,0.05,3,"Central",0.0538,0.00319078548323136
100,0.5,0.05,3,"Tail",0.0524,0.00315132480077824
100,0.5,0.05,5,"Uniform",0,0
100,0.5,0.05,5,"Central",0.054,0.00319637294444813
100,0.5,0.05,5,"Tail",0.0492,0.00305873699425106
100,0.5,0.05,8,"Uniform",0,0
100,0.5,0.05,8,"Central",0.0552,0.0032296427046966
100,0.5,0.05,8,"Tail",0.0438,0.00289418589589542
100,0.5,0.1,1,"Uniform",0,0
100,0.5,0.1,1,"Central",0.0582,0.003310974478911
100,0.5,0.1,1,"Tail",0.0492,0.00305873699425106
100,0.5,0.1,2,"Uniform",0,0
100,0.5,0.1,2,"Central",0.054,0.00319637294444813
100,0.5,0.1,2,"Tail",0.0546,0.00321306209090332
100,0.5,0.1,3,"Uniform",0,0
100,0.5,0.1,3,"Central",0.0494,0.0030646252625729
100,0.5,0.1,3,"Tail",0.056,0.00325158422926425
100,0.5,0.1,5,"Uniform",0,0
