"n","x0","eta","c","r","Weight","Power","MCSE","Power_MCSE"
50,0.25,0.2,1,5,"Uniform",0.048,0.00302311098043059,"0.0480 (0.0030)"
50,0.25,0.2,1,5,"Central",0.0502,0.00308804015517933,"0.0502 (0.0031)"
50,0.25,0.2,1,5,"Tail",0.0444,0.00291302729132427,"0.0444 (0.0029)"
50,0.25,0.2,1,8,"Uniform",0.0552,0.0032296427046966,"0.0552 (0.0032)"
50,0.25,0.2,1,8,"Central",0.0506,0.00309966578843591,"0.0506 (0.0031)"
50,0.25,0.2,1,8,"Tail",0.0468,0.00298696367570816,"0.0468 (0.0030)"
50,0.25,0.2,1.5,1,"Uniform",0.0496,0.00307049963361014,"0.0496 (0.0031)"
50,0.25,0.2,1.5,1,"Central",0.0594,0.00334280241713446,"0.0594 (0.0033)"
50,0.25,0.2,1.5,1,"Tail",0.0366,0.00265557677350891,"0.0366 (0.0027)"
50,0.25,0.2,1.5,2,"Uniform",0.0514,0.00312275647465504,"0.0514 (0.0031)"
50,0.25,0.2,1.5,2,"Central",0.0472,0.00299907185642492,"0.0472 (0.0030)"
50,0.25,0.2,1.5,2,"Tail",0.0386,0.00272433624943765,"0.0386 (0.0027)"
50,0.25,0.2,1.5,3,"Uniform",0.046,0.00296256645495084,"0.0460 (0.0030)"
50,0.25,0.2,1.5,3,"Central",0.0464,0.00297479545515318,"0.0464 (0.0030)"
50,0.25,0.2,1.5,3,"Tail",0.0424,0.00284963997726029,"0.0424 (0.0028)"
50,0.25,0.2,1.5,5,"Uniform",0.0444,0.00291302729132427,"0.0444 (0.0029)"
50,0.25,0.2,1.5,5,"Central",0.0414,0.00281730509529941,"0.0414 (0.0028)"
50,0.25,0.2,1.5,5,"Tail",0.0418,0.00283029185774188,"0.0418 (0.0028)"
50,0.25,0.2,1.5,8,"Uniform",0.0444,0.00291302729132427,"0.0444 (0.0029)"
50,0.25,0.2,1.5,8,"Central",0.0466,0.00298088711627931,"0.0466 (0.0030)"
50,0.25,0.2,1.5,8,"Tail",0.0398,0.00276463234445378,"0.0398 (0.0028)"
50,0.25,0.2,2,1,"Uniform",0.0452,0.00293792307591605,"0.0452 (0.0029)"
50,0.25,0.2,2,1,"Central",0.0596,0.00334806929438445,"0.0596 (0.0033)"
50,0.25,0.2,2,1,"Tail",0.0384,0.00271755183943195,"0.0384 (0.0027)"
50,0.25,0.2,2,2,"Uniform",0.0478,0.00301712313305241,"0.0478 (0.0030)"
50,0.25,0.2,2,2,"Central",0.0444,0.00291302729132427,"0.0444 (0.0029)"
50,0.25,0.2,2,2,"Tail",0.0324,0.00250400638976821,"0.0324 (0.0025)"
50,0.25,0.2,2,3,"Uniform",0.0478,0.00301712313305241,"0.0478 (0.0030)"
50,0.25,0.2,2,3,"Central",0.0502,0.00308804015517933,"0.0502 (0.0031)"
50,0.25,0.2,2,3,"Tail",0.0346,0.0025846794772273,"0.0346 (0.0026)"
50,0.25,0.2,2,5,"Uniform",0.0366,0.00265557677350891,"0.0366 (0.0027)"
50,0.25,0.2,2,5,"Central",0.0394,0.00275127752144345,"0.0394 (0.0028)"
50,0.25,0.2,2,5,"Tail",0.0388,0.00273110087693589,"0.0388 (0.0027)"
50,0.25,0.2,2,8,"Uniform",0.0472,0.00299907185642492,"0.0472 (0.0030)"
50,0.25,0.2,2,8,"Central",0.043,0.00286883251515316,"0.0430 (0.0029)"
50,0.25,0.2,2,8,"Tail",0.0406,0.00279111590586991,"0.0406 (0.0028)"
50,0.5,0.05,0.5,1,"Uniform",0.0472,0.00299907185642492,"0.0472 (0.0030)"
50,0.5,0.05,0.5,1,"Central",0.0492,0.00305873699425106,"0.0492 (0.0031)"
50,0.5,0.05,0.5,1,"Tail",0.0482,0.00302908435009658,"0.0482 (0.0030)"
50,0.5,0.05,0.5,2,"Uniform",0.0524,0.00315132480077824,"0.0524 (0.0032)"
50,0.5,0.05,0.5,2,"Central",0.0468,0.00298696367570816,"0.0468 (0.0030)"
50,0.5,0.05,0.5,2,"Tail",0.046,0.00296256645495084,"0.0460 (0.0030)"
50,0.5,0.05,0.5,3,"Uniform",0.0524,0.00315132480077824,"0.0524 (0.0032)"
50,0.5,0.05,0.5,3,"Central",0.0468,0.00298696367570816,"0.0468 (0.0030)"
50,0.5,0.05,0.5,3,"Tail",0.0486,0.0030409879973456,"0.0486 (0.0030)"
50,0.5,0.05,0.5,5,"Uniform",0.056,0.00325158422926425,"0.0560 (0.0033)"
50,0.5,0.05,0.5,5,"Central",0.0436,0.00288787257336608,"0.0436 (0.0029)"
50,0.5,0.05,0.5,5,"Tail",0.055,0.0032241277890307,"0.0550 (0.0032)"
50,0.5,0.05,0.5,8,"Uniform",0.0538,0.00319078548323136,"0.0538 (0.0032)"
50,0.5,0.05,0.5,8,"Central",0.053,0.00316831185333767,"0.0530 (0.0032)"
50,0.5,0.05,0.5,8,"Tail",0.0464,0.00297479545515318,"0.0464 (0.0030)"
50,0.5,0.05,1,1,"Uniform",0.046,0.00296256645495084,"0.0460 (0.0030)"
50,0.5,0.05,1,1,"Central",0.0556,0.00324063697442339,"0.0556 (0.0032)"
50,0.5,0.05,1,1,"Tail",0.0502,0.00308804015517933,"0.0502 (0.0031)"
50,0.5,0.05,1,2,"Uniform",0.0586,0.00332162731202644,"0.0586 (0.0033)"
50,0.5,0.05,1,2,"Central",0.0428,0.00286245209566903,"0.0428 (0.0029)"
50,0.5,0.05,1,2,"Tail",0.0538,0.00319078548323136,"0.0538 (0.0032)"
50,0.5,0.05,1,3,"Uniform",0.0468,0.00298696367570816,"0.0468 (0.0030)"
50,0.5,0.05,1,3,"Central",0.048,0.00302311098043059,"0.0480 (0.0030)"
50,0.5,0.05,1,3,"Tail",0.0552,0.0032296427046966,"0.0552 (0.0032)"
50,0.5,0.05,1,5,"Uniform",0.0496,0.00307049963361014,"0.0496 (0.0031)"
50,0.5,0.05,1,5,"Central",0.0444,0.00291302729132427,"0.0444 (0.0029)"
50,0.5,0.05,1,5,"Tail",0.0484,0.00303504332753257,"0.0484 (0.0030)"
50,0.5,0.05,1,8,"Uniform",0.049,0.00305283474822991,"0.0490 (0.0031)"
50,0.5,0.05,1,8,"Central",0.0526,0.00315699984162179,"0.0526 (0.0032)"
50,0.5,0.05,1,8,"Tail",0.0494,0.0030646252625729,"0.0494 (0.0031)"
50,0.5,0.05,1.5,1,"Uniform",0.0454,0.00294410733499986,"0.0454 (0.0029)"
50,0.5,0.05,1.5,1,"Central",0.0502,0.00308804015517933,"0.0502 (0.0031)"
50,0.5,0.05,1.5,1,"Tail",0.0548,0.00321860093829602,"0.0548 (0.0032)"
50,0.5,0.05,1.5,2,"Uniform",0.0508,0.00310545842026584,"0.0508 (0.0031)"
50,0.5,0.05,1.5,2,"Central",0.0436,0.00288787257336608,"0.0436 (0.0029)"
50,0.5,0.05,1.5,2,"Tail",0.0516,0.00312849612433834,"0.0516 (0.0031)"
50,0.5,0.05,1.5,3,"Uniform",0.0484,0.00303504332753257,"0.0484 (0.0030)"
50,0.5,0.05,1.5,3,"Central",0.0458,0.00295642892693195,"0.0458 (0.0030)"
50,0.5,0.05,1.5,3,"Tail",0.052,0.00313993630508646,"0.0520 (0.0031)"
50,0.5,0.05,1.5,5,"Uniform",0.0458,0.00295642892693195,"0.0458 (0.0030)"
50,0.5,0.05,1.5,5,"Central",0.0482,0.00302908435009658,"0.0482 (0.0030)"
50,0.5,0.05,1.5,5,"Tail",0.0502,0.00308804015517933,"0.0502 (0.0031)"
